Clase, Area, Anchura
manzana,119284,365.687
manzana,119313,364.453
manzana,119368,364.886
manzana,119443,365.519
manzana,119874,364.701
manzana,120353,365.357
manzana,120816,364.348
manzana,121487,364.99
manzana,122081,364.999
manzana,121942,379
manzana,122553,367
manzana,123006,366.058
manzana,123582,366
manzana,123736,367
manzana,123821,367
manzana,123780,368.004
manzana,123775,367.904
manzana,123534,367.647
manzana,123358,368.202
manzana,122110,381.335
manzana,122919,368.524
manzana,123023,368.983
manzana,123170,370.417
manzana,123370,370
manzana,123385,370.347
manzana,123168,369.362
manzana,123103,369.502
manzana,123186,370
manzana,122285,377.156
manzana,123297,370.729
manzana,123434,370.621
manzana,123368,370.729
manzana,123329,371.199
manzana,123028,372
manzana,122622,371.537
manzana,122537,372.504
manzana,122545,374.295
manzana,122498,375.337
manzana,122504,376.719
manzana,122529,376.429
manzana,122402,376.584
manzana,122568,375.651
manzana,122491,373.837
manzana,122128,377
manzana,122490,373.486
manzana,122207,371.892
manzana,122106,369.765
manzana,121818,369.162
manzana,121200,369.392
manzana,120873,369.497
manzana,120278,370.261
manzana,119713,369.313
manzana,118597,368.672
nabo,61264,120.558
nabo,61565,132.804
nabo,61157.5,132.371
nabo,62629,133.382
nabo,60559.5,120.449
nabo,60293.5,120.355
nabo,60202,120.028
nabo,59900.5,119.831
nabo,59763.5,119.702
nabo,59463,119.381
nabo,60036.5,119.923
nabo,59441.5,119.314
nabo,59440,119.374
nabo,60116.5,127.492
nabo,18934.5,162.672
nabo,21986,156.723
nabo,25724.5,155.366
nabo,29735.5,152.18
nabo,33464,146.126
nabo,37638,144.572
nabo,41601.5,143.434
nabo,45711,142.346
nabo,49030.5,141.568
nabo,59857,122
nabo,50738.5,140.992
nabo,55167,137.737
nabo,57249,136.759
nabo,58559,135.399
nabo,59515,132.799
nabo,60056,130.17
nabo,60275.5,127.722
nabo,60134,127.627
nabo,59410.5,126.654
nabo,59386,124.901
nabo,58705,125.357
nabo,57914,124.207
nabo,56364,123.533
nabo,54690,125.121
nabo,52860.5,125.454
nabo,50570,124.978
nabo,45362.5,127.583
nabo,42406,129.138
nabo,58479.5,125.652
nabo,38888,131.121
nabo,35457,133.409
nabo,28330,136.926
nabo,24784,135.59
nabo,22172.5,129.935
nabo,20679,118.42
nabo,20953,108.771
nabo,22892,117.294
nabo,25828,126.452
nabo,57422,113.248
nabo,29268.5,130.855
nabo,33032.5,130.632
nabo,36654,131.292
nabo,43189.5,111.745
nabo,46410,112.97
nabo,49082.5,112.809
nabo,50605,112.984
nabo,55010.5,129.028
nabo,56034,112.947
nabo,56548,129.48
nabo,57721,129.435
nabo,54181,113.522
nabo,52200.5,114.914
nabo,59913,118.858
nabo,48977.5,115.278
nabo,46025.5,115.891
nabo,42321.5,122.367
nabo,38317,118.089
nabo,35164,117.956
nabo,27750,118.612
nabo,24092.5,118.872
